type;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;id
1;590;23;30;1290;5;5700;17000;100;328;39;940;5;171
1;600;67;7;120;6;900;10800;99;311;35;870;4;172
1;640;25;32;550;5;4100;17600;100;319;68;920;6;173
1;640;33;31;550;5;4200;17300;100;319;66;930;6;174
1;710;34;15;120;5;6100;18300;99;309;43;920;5;175
1;680;28;40;2200;5;4800;16700;100;293;50;870;5;176
1;690;27;40;1400;5;6400;22700;100;318;58;960;6;177
1;680;26;56;1190;4;6400;22600;100;302;63;930;5;178
1;680;29;56;1190;4;6600;23000;100;302;63;930;5;179
1;670;24;41;940;4;4900;16600;100;312;61;990;6;180
1;590;30;23;420;4;4200;11900;99;315;50;1100;5;181
1;680;53;35;380;3;2600;10900;99;326;57;1270;8;182
1;650;28;28;850;5;5400;21000;100;309;54;890;4;183
1;660;28;28;850;5;5500;21100;100;309;55;890;6;184
1;680;28;40;2200;5;4800;16700;100;293;50;870;5;185
1;680;28;36;800;4;2800;12300;99;302;37;1140;6;186
1;660;15;34;510;6;3400;12500;99;336;42;960;5;187
1;640;29;44;360;20;7500;18100;99;302;41;910;5;188
1;640;30;45;350;20;7600;18000;99;302;39;910;6;189
1;640;29;44;360;20;7500;18300;99;301;38;910;5;190
1;680;26;24;780;5;5400;21400;100;313;47;890;5;191
1;710;32;24;1310;5;5200;20400;100;310;49;880;5;192
1;680;26;24;780;5;5400;21400;100;313;47;890;5;193
1;680;27;26;1610;5;5500;19600;100;315;50;930;5;194
1;710;32;24;1310;5;5200;20400;100;310;49;880;5;195
1;690;54;32;1320;5;5300;23600;100;320;50;960;5;196
1;680;26;34;1390;3;3900;13400;99;333;53;1200;6;197
1;580;28;35;230;5;3600;11400;99;328;50;1020;4;198
1;640;21;50;1160;4;4500;15300;100;315;43;880;5;199
1;700;16;32;830;4;3800;12600;100;321;34;920;5;200
1;1020;44;88;620;5;2000;12400;100;299;51;990;4;201
1;680;57;29;220;4;1500;7700;99;332;74;1020;5;202
1;610;40;31;90;5;2300;17000;99;322;77;950;6;203
1;560;24;25;970;3;1200;6800;99;331;34;1050;5;204
1;680;18;38;140;4;3500;11100;99;332;59;1120;7;205
1;700;16;32;830;4;3800;12600;100;321;34;920;5;206
1;670;13;29;530;5;3100;12200;99;344;37;970;6;207
1;620;25;25;140;3;3500;10500;99;330;44;1110;7;208
1;580;26;24;920;4;5500;15200;100;331;38;940;5;209
1;750;27;36;700;4;4500;16400;99;303;33;1100;5;210
1;580;26;24;920;4;5500;15200;100;331;38;940;5;211
1;570;28;24;1750;4;6000;16700;100;331;44;940;5;212
1;750;23;36;700;4;4300;16100;99;304;32;1100;5;213
1;750;27;36;700;4;4500;16400;99;303;33;1100;5;214
1;720;68;21;950;7;3300;17200;100;300;55;910;6;215
1;620;25;25;140;3;3500;10500;99;330;44;1110;7;216
1;650;19;30;80;4;3300;14400;99;342;39;910;6;217
1;710;24;41;1780;5;3900;14500;100;332;39;870;5;218
1;640;17;32;240;5;4100;20000;99;350;50;970;6;219
1;710;25;32;1030;4;6600;27200;100;317;52;910;6;220
1;640;17;32;240;5;4100;20000;99;350;50;970;6;221
1;710;24;41;1780;5;3900;14500;100;332;39;870;5;222
1;680;64;8;970;6;2600;14200;100;337;46;890;4;223
1;830;28;40;780;4;3800;19400;100;334;51;960;6;224
1;820;27;39;780;4;4900;20800;100;331;51;950;6;225
1;720;23;38;1430;6;5500;19400;100;309;44;900;6;226
1;720;23;38;1430;6;5500;19400;100;309;44;900;6;227
1;720;23;38;1430;6;5500;19400;100;309;44;900;6;228
1;720;23;38;1430;6;5500;19400;100;309;44;900;6;229
1;680;52;32;1320;4;5400;22100;100;327;50;960;6;230
1;700;26;59;140;4;4000;12000;99;334;41;1110;7;231
1;620;25;21;1555;4;2800;15900;100;348;64;960;6;232
1;730;32;23;1370;5;4900;19700;100;320;46;870;5;233
1;770;31;26;780;3;2300;9000;99;313;50;1040;5;234
1;710;21;37;240;3;2300;10000;99;315;38;1140;7;235
1;680;24;34;270;5;6450;21850;99;330;58;970;6;236
1;690;40;56;1120;4;4000;14200;100;314;46;870;5;237
1;610;18;36;200;4;2000;24950;99;337;79;1130;6;238
1;680;21;27;210;3;2600;13900;99;316;61;1260;7;239
1;580;20;27;140;3;1200;7700;99;325;36;1090;7;240
1;560;19;26;140;3;1200;7600;99;325;37;1090;7;241
1;590;21;28;460;5;4000;19900;100;372;70;1000;4;242
1;850;26;21;1620;7;4100;19700;100;302;50;980;3;243
1;690;40;56;1120;4;4000;14200;100;314;46;870;5;244
1;580;24;44;350;3;500;10900;99;353;43;1170;3;245
1;580;24;39;150;5;3700;15800;99;321;52;930;6;246
1;670;26;39;110;4;4500;14700;99;332;58;960;8;247
1;630;35;30;570;4;800;9700;99;327;41;1100;7;248
1;630;35;30;570;4;800;9700;99;327;41;1100;7;249
1;640;23;39;180;3;2300;11800;99;332;50;1180;6;250
1;580;36;38;90;4;300;7500;99;328;34;1140;4;251
1;690;12;35;540;5;3600;10800;99;332;42;1020;6;252
1;690;29;40;1945;4;3600;15600;100;293;47;890;5;253
1;690;28;40;820;4;1500;9500;99;317;33;1020;5;254
1;720;29;40;1360;4;6600;23100;100;308;59;960;6;255
1;620;24;35;120;4;2200;16700;99;310;48;1060;6;256
1;690;29;40;1945;4;3600;15600;100;293;47;890;5;257
1;690;32;26;830;5;3200;18000;100;325;51;920;6;258
1;540;59;7;700;4;3600;14700;99;334;57;970;6;259
1;690;32;26;830;5;3200;18000;100;325;51;920;6;260
1;520;60;7;700;4;3300;14700;99;333;58;970;5;261
1;580;25;26;1310;5;4400;14800;100;329;38;930;5;262
1;660;58;30;510;6;3000;12300;99;324;38;900;5;263
1;700;29;54;1070;5;5900;23400;100;305;61;950;5;264
1;660;19;41;890;5;5100;16900;100;314;57;980;6;265
1;670;20;41;910;4;5000;16600;100;314;58;980;6;266
1;770;26;40;110;4;900;6000;99;289;50;1060;5;267
1;680;32;34;120;4;1400;6700;99;305;47;1060;4;268
1;700;30;49;470;4;1700;10500;99;326;68;1240;7;269
1;700;24;36;280;3;2200;11200;99;319;38;1260;8;270
1;610;31;58;500;4;3600;11400;99;330;60;1230;8;271
1;680;44;37;510;5;4600;20100;99;308;65;1050;4;272
1;670;34;30;1560;5;5100;19600;100;319;49;930;5;273
1;710;35;24;1540;6;4600;19800;100;312;49;880;5;274
1;730;32;25;720;6;4700;18000;100;308;47;880;5;275
1;650;28;33;1570;5;5100;19000;100;322;51;970;6;276
1;720;23;39;1420;6;4900;19200;100;298;48;900;7;277
1;720;23;39;1420;6;4900;19200;100;298;48;900;7;278
1;720;23;39;1420;6;4900;19200;100;298;48;900;7;279
1;720;23;39;1420;6;4900;19200;100;298;48;900;7;280
1;590;15;31;580;4;5300;15500;99;352;46;1050;6;281
1;740;28;42;1980;7;5300;19500;100;296;44;910;5;282
1;620;28;22;730;4;2600;15700;100;344;64;980;7;283
1;910;59;38;160;7;3400;18200;100;323;38;850;3;284
1;630;33;27;120;5;3400;17500;99;337;54;940;6;285
1;830;39;70;1060;4;3300;16900;100;309;57;940;5;286
1;720;19;46;380;4;8200;18700;99;319;60;1120;7;287
1;750;17;44;1130;5;6500;14600;100;317;45;1000;6;288
1;670;17;50;210;4;2700;12200;99;315;45;1030;6;289
1;610;41;0;160;6;3600;8700;99;327;67;1080;6;290
1;830;20;35;90;5;1200;7400;99;313;38;1050;6;291
1;610;41;0;160;6;3600;8700;99;327;67;1080;6;292
1;600;29;21;130;6;4200;16800;99;332;43;1110;6;293
1;730;41;24;680;6;4100;16300;99;320;41;990;6;294
1;730;41;24;680;6;4100;16300;99;320;41;990;6;295
1;720;43;24;670;6;4000;16300;100;320;41;990;5;296
1;730;40;24;670;6;4100;16600;100;320;41;990;6;297
1;620;33;27;490;4;3000;13400;99;320;42;1040;7;298
1;620;31;26;480;4;3600;14800;99;321;41;1040;6;299
1;610;36;27;210;4;1600;10000;99;340;71;1150;7;300
1;500;55;14;830;3;3500;16400;99;353;51;1250;8;301
1;780;25;41;370;4;3700;14900;100;336;45;1000;6;302
1;570;36;21;670;4;5100;16600;99;329;63;1000;6;303
1;580;34;21;660;4;5000;16700;99;329;62;1000;5;304
1;680;28;60;110;13;4200;12700;99;309;44;910;6;305
1;680;25;34;470;3;3400;13400;99;321;38;1060;6;306
1;660;24;35;770;3;3600;13500;99;319;37;1050;5;307
1;590;30;47;785;3;1900;13300;99;352;43;1150;7;308
1;610;12;25;330;4;1000;6900;99;354;59;1010;6;309
1;600;10;24;110;4;1500;6500;99;361;61;1030;7;310
1;660;24;35;770;3;3600;13500;99;319;37;1050;5;311
1;680;25;34;470;3;3400;13400;99;321;38;1060;6;312
1;680;28;44;930;3;3500;13700;99;316;36;1040;6;313
1;830;41;51;200;5;1100;20700;99;302;55;1140;5;314
1;750;27;31;580;6;13100;31300;99;318;59;1050;5;315
1;790;26;41;1515;4;3800;21600;100;296;60;1000;6;316
1;640;34;23;630;4;3700;14300;99;319;65;1000;6;317
1;650;28;35;1540;4;5500;19500;100;323;50;960;6;318
1;720;21;41;130;4;3300;8500;99;317;51;1040;5;319
1;640;32;35;480;3;3400;10100;99;336;60;1250;8;320
1;680;24;34;460;3;3700;13500;99;320;39;1060;5;321
1;630;23;30;180;3;1600;9100;99;328;40;1180;6;322
1;650;28;34;990;4;3000;13300;100;311;44;980;5;323
1;560;26;26;570;3;1200;8000;99;325;38;1080;5;324
1;630;23;30;180;3;1600;9100;99;328;40;1180;6;325
1;630;23;33;150;4;1500;10500;99;332;42;1120;6;326
1;580;27;27;1230;4;5500;17000;100;328;42;930;6;327
1;590;26;40;130;5;1200;13900;99;345;53;1040;5;328
1;660;18;35;150;5;4900;14100;99;343;85;1020;7;329
1;740;20;43;780;4;2700;15300;100;319;55;900;7;330
1;800;24;36;150;5;1700;12900;99;320;54;1000;6;331
1;640;26;42;970;4;3000;14000;100;318;47;910;6;332
1;540;31;47;300;5;4600;14400;99;329;76;1000;5;333
1;540;29;47;300;5;4700;14500;99;329;75;1000;6;334
1;710;14;33;460;5;3300;13100;99;328;40;960;6;335
1;560;34;10;130;3;2000;6800;99;336;51;1120;7;336
1;670;19;41;1560;6;7500;15500;100;320;44;880;6;337
1;780;18;46;1360;5;3800;11800;100;315;50;1000;6;338
1;760;17;45;1120;5;5600;13700;100;315;47;1000;5;339
1;630;12;36;210;4;4700;14600;99;327;74;1140;7;340
1;730;33;40;685;4;3200;13800;99;303;30;1190;7;341
1;550;34;30;250;7;2700;12800;99;314;51;960;6;342
1;730;33;40;685;4;3200;13800;99;303;30;1190;7;343
1;580;40;42;440;5;3850;24500;99;325;57;960;6;344
1;730;22;37;1430;6;4800;19100;100;289;38;900;6;345
1;730;22;37;1430;6;4800;19100;100;289;38;900;6;346
1;610;36;33;110;5;2400;16900;99;315;78;950;6;347
1;1000;20;39;140;5;1900;15200;99;300;42;1040;6;348
1;690;24;34;470;4;4300;16100;99;320;59;1060;6;349
1;640;24;32;1490;5;5400;16200;100;328;50;1020;6;350
1;710;36;14;120;6;2400;8400;99;315;43;890;5;351
1;680;15;30;530;5;4000;12700;99;340;39;970;6;352
1;730;22;37;1430;6;4800;19100;100;289;38;900;6;353
1;680;16;40;230;4;1800;10200;99;349;42;1140;7;354
1;600;26;32;350;3;2900;11300;99;340;71;1230;7;355
1;600;18;27;150;9;4000;14300;99;349;62;1080;6;356
1;690;33;21;100;5;3900;14800;99;312;45;940;6;357
1;710;39;35;1250;4;2600;7200;99;317;29;1160;5;358
1;690;33;21;100;5;3900;14800;99;312;45;940;6;359
1;770;29;48;230;5;3600;17800;99;317;64;1060;6;360
1;660;90;19;80;5;1700;20400;99;334;56;1000;5;361
1;720;27;27;240;5;3000;14900;99;310;51;920;6;362
1;510;33;22;160;3;1800;8900;99;351;38;1250;7;363
1;510;33;22;160;3;1800;8900;99;351;38;1250;7;364
1;640;31;28;150;4;1200;11900;99;332;51;1040;7;365
1;730;20;44;140;4;2100;9800;99;315;46;1000;7;366
1;570;32;50;260;5;1700;15500;99;322;64;1000;6;367
1;640;31;28;150;4;1200;11900;99;332;51;1040;7;368
1;730;20;44;140;4;2100;9800;99;315;46;1000;7;369
1;720;28;26;1250;5;4800;17900;100;310;52;900;6;370
1;750;35;28;960;5;2600;15700;100;312;53;920;6;371
1;720;27;27;240;5;3000;14900;99;310;51;920;6;372
1;600;36;39;320;3;2000;12500;99;338;39;1130;7;373
1;510;33;22;160;3;1800;8900;99;351;38;1250;7;374
1;500;17;56;150;3;2400;11500;99;348;39;1080;7;375
1;630;39;35;590;4;8250;26000;99;312;66;1010;5;376
1;670;21;32;540;5;2900;14000;100;339;46;970;6;377
1;700;30;38;1490;3;6000;18100;100;318;61;930;7;378
1;700;30;38;1490;3;6000;18100;100;318;61;930;7;379
1;650;36;32;110;3;1300;6600;99;310;46;1060;5;380
1;610;55;15;980;3;1900;12500;100;336;47;1020;6;381
1;730;24;43;200;2;2000;6900;99;308;56;1220;6;382
1;680;37;51;1180;4;6200;16300;100;319;44;880;5;383
1;680;27;12;130;4;8700;16800;99;318;41;1000;5;384
1;820;28;42;180;3;3000;9300;99;309;39;1140;5;385
1;630;20;40;150;4;3500;10700;99;346;50;1140;6;386
1;590;26;27;1820;5;5200;16800;100;335;44;940;5;387
1;640;19;42;290;3;3200;8300;99;330;41;1170;6;388
1;630;20;40;150;4;3500;10700;99;346;50;1140;6;389
1;680;37;51;1180;4;6200;16300;100;319;44;880;5;390
1;610;35;7;140;7;2200;10800;99;323;52;920;5;391
1;710;27;31;1820;5;5500;25200;100;307;56;870;5;392
1;680;22;31;630;4;3300;17000;99;324;66;1260;6;393
1;680;27;12;130;4;8700;16800;99;318;41;1000;5;394
1;580;28;34;400;3;4000;9900;99;339;39;1280;7;395
1;690;49;24;120;5;1300;12500;99;317;51;940;5;396
1;630;14;39;120;4;2600;11600;99;326;53;1030;6;397
1;820;28;42;180;3;3000;9300;99;309;39;1140;5;398
1;720;25;39;1895;4;4200;15500;100;297;47;900;6;399
1;730;28;36;1270;4;3800;14000;100;330;79;960;6;400
1;720;19;39;120;4;3200;8500;99;316;50;1050;5;401
1;720;19;39;120;4;3200;8500;99;316;50;1050;5;402
1;720;25;39;1895;4;4200;15500;100;297;47;900;6;403
1;730;28;36;1270;4;3800;14000;100;330;79;960;6;404
1;740;21;27;120;4;2700;9900;99;319;33;980;6;405
1;680;26;22;770;5;5700;21000;100;310;47;900;5;406
1;740;21;27;120;4;2700;9900;99;319;33;980;6;407
1;740;31;28;160;5;3300;13700;99;331;56;1050;6;408
1;700;22;31;270;3;4100;13600;99;316;37;1270;7;409
1;700;21;28;870;4;3700;22200;100;325;54;1040;6;410
1;700;21;28;860;4;3700;22100;100;325;54;1040;6;411
1;700;21;28;860;4;3700;22100;100;325;54;1040;6;412
1;690;23;38;830;5;4700;16200;100;334;52;1050;7;413
1;700;21;28;870;4;3700;22200;100;325;54;1040;6;414
1;700;21;28;860;4;3700;22100;100;325;54;1040;6;415
1;680;29;50;1330;5;4800;19400;100;309;45;940;5;416
1;780;21;27;120;5;2000;8900;99;306;46;910;5;417
1;710;31;47;1360;6;5400;19700;100;310;49;930;5;418
1;680;29;50;1330;5;4800;19400;100;309;45;940;5;419
1;640;34;10;110;5;1900;8400;99;321;38;980;5;420
1;740;16;34;230;4;7350;21400;99;318;61;990;7;421
1;720;55;9;150;11;1600;15100;99;307;57;920;4;422
1;700;23;36;710;3;3100;10400;99;335;47;1210;8;423
1;690;20;37;620;3;2400;9700;99;338;49;1220;7;424
1;610;28;32;250;4;2300;21850;99;327;60;980;5;425
1;660;16;32;140;4;4900;18600;99;335;64;1240;8;426
1;620;35;4;120;6;2300;10800;99;326;54;920;5;427
1;610;38;20;660;3;2500;13700;99;330;69;1040;6;428
1;600;25;28;220;3;5400;12600;99;343;65;1290;8;429
1;660;52;44;1220;5;5400;24500;100;326;54;930;6;430
1;690;24;36;2080;3;4000;13900;100;320;33;1100;6;431
1;710;32;32;1100;4;1600;6600;99;324;40;1150;3;432
1;580;28;27;260;5;3000;15600;99;353;42;1240;5;433
1;650;41;24;1400;5;2400;11300;100;344;53;980;6;434
1;650;41;24;1400;5;2400;11300;100;344;53;980;6;435
1;640;28;29;160;5;3400;12700;99;348;56;1050;7;436
1;720;60;20;990;7;2100;17400;100;303;54;910;5;437
1;610;20;25;120;4;3400;12800;99;324;44;1010;5;438
1;590;46;14;270;4;2700;16000;99;346;51;1060;7;439
1;600;27;27;160;5;3200;11300;99;341;51;1050;7;440
1;640;28;29;160;5;3400;12700;99;348;56;1050;7;441
1;640;41;24;1400;5;2400;11300;100;344;53;980;6;442
1;630;23;31;150;2;1100;8200;99;330;40;1290;7;443
1;710;21;27;860;6;2600;11100;100;295;52;950;5;444
1;600;37;32;100;5;3100;21850;99;329;72;980;6;445
1;610;43;35;910;6;8300;24900;100;337;50;850;5;446
1;710;21;27;860;6;2600;11100;100;295;52;950;5;447
1;700;25;29;1520;5;4000;17100;100;322;45;930;5;448
1;590;25;19;1240;5;5000;16200;100;335;38;950;5;449
1;680;32;21;220;4;1500;6800;99;317;39;940;6;450
