Column1;claw_length_mm;endangered;size_mm;specie;sub_specie;tail_length_mm;weight_g
64;69;critically_endangered;489;three_toed;Pygmy three-toed sloth;58;1863
65;73;critically_endangered;497;three_toed;Pygmy three-toed sloth;49;4278
66;86;critically_endangered;517;three_toed;Pygmy three-toed sloth;69;1188
67;91;critically_endangered;510;three_toed;Pygmy three-toed sloth;73;1691
68;63;critically_endangered;493;three_toed;Pygmy three-toed sloth;41;1794
69;81;critically_endangered;496;three_toed;Pygmy three-toed sloth;34;3058
70;85;critically_endangered;521;three_toed;Pygmy three-toed sloth;48;2573
71;70;critically_endangered;496;three_toed;Pygmy three-toed sloth;61;3081
72;88;critically_endangered;501;three_toed;Pygmy three-toed sloth;62;4153
73;57;vulnerable;658;three_toed;Maned three-toed sloth;51;4175
74;100;vulnerable;637;three_toed;Maned three-toed sloth;55;4976
75;89;vulnerable;645;three_toed;Maned three-toed sloth;67;5847
76;89;vulnerable;638;three_toed;Maned three-toed sloth;53;7087
77;78;vulnerable;637;three_toed;Maned three-toed sloth;54;4951
78;70;vulnerable;665;three_toed;Maned three-toed sloth;35;6009
79;61;vulnerable;626;three_toed;Maned three-toed sloth;39;7218
80;82;vulnerable;639;three_toed;Maned three-toed sloth;40;5913
81;65;vulnerable;642;three_toed;Maned three-toed sloth;58;6635
82;73;vulnerable;620;three_toed;Maned three-toed sloth;42;4051
83;49;vulnerable;633;three_toed;Maned three-toed sloth;34;6891
84;79;vulnerable;627;three_toed;Maned three-toed sloth;57;4664
85;68;vulnerable;632;three_toed;Maned three-toed sloth;51;4799
86;71;vulnerable;641;three_toed;Maned three-toed sloth;40;6427
87;71;vulnerable;616;three_toed;Maned three-toed sloth;51;5930
88;68;vulnerable;633;three_toed;Maned three-toed sloth;21;5101
89;80;vulnerable;634;three_toed;Maned three-toed sloth;39;4246
90;81;vulnerable;622;three_toed;Maned three-toed sloth;45;4784
91;72;vulnerable;626;three_toed;Maned three-toed sloth;59;7646
92;82;vulnerable;632;three_toed;Maned three-toed sloth;53;5963
93;85;vulnerable;625;three_toed;Maned three-toed sloth;50;5210
94;46;vulnerable;619;three_toed;Maned three-toed sloth;26;3752
95;86;vulnerable;631;three_toed;Maned three-toed sloth;42;6086
96;66;vulnerable;630;three_toed;Maned three-toed sloth;59;4529
97;100;vulnerable;633;three_toed;Maned three-toed sloth;40;4440
98;79;vulnerable;640;three_toed;Maned three-toed sloth;51;6986
99;85;vulnerable;612;three_toed;Maned three-toed sloth;56;6157
100;69;vulnerable;641;three_toed;Maned three-toed sloth;50;4545
101;81;vulnerable;625;three_toed;Maned three-toed sloth;57;6826
102;76;vulnerable;654;three_toed;Maned three-toed sloth;53;5370
103;86;vulnerable;651;three_toed;Maned three-toed sloth;65;4577
104;80;vulnerable;643;three_toed;Maned three-toed sloth;61;7441
105;70;vulnerable;632;three_toed;Maned three-toed sloth;49;7146
106;78;vulnerable;639;three_toed;Maned three-toed sloth;59;8005
107;64;vulnerable;638;three_toed;Maned three-toed sloth;47;5707
108;81;vulnerable;637;three_toed;Maned three-toed sloth;57;4297
109;76;vulnerable;632;three_toed;Maned three-toed sloth;52;5948
110;80;vulnerable;631;three_toed;Maned three-toed sloth;37;6490
111;75;vulnerable;648;three_toed;Maned three-toed sloth;45;4726
112;75;vulnerable;640;three_toed;Maned three-toed sloth;52;6594
113;71;vulnerable;645;three_toed;Maned three-toed sloth;53;5412
114;72;vulnerable;643;three_toed;Maned three-toed sloth;49;4336
115;90;vulnerable;620;three_toed;Maned three-toed sloth;42;5635
116;73;vulnerable;617;three_toed;Maned three-toed sloth;49;4902
117;70;vulnerable;630;three_toed;Maned three-toed sloth;54;3441
118;67;vulnerable;642;three_toed;Maned three-toed sloth;46;4937
119;53;vulnerable;641;three_toed;Maned three-toed sloth;70;5864
120;68;vulnerable;645;three_toed;Maned three-toed sloth;73;5356
121;72;vulnerable;651;three_toed;Maned three-toed sloth;38;4695
122;93;vulnerable;631;three_toed;Maned three-toed sloth;57;6341
123;70;vulnerable;621;three_toed;Maned three-toed sloth;49;7478
124;71;vulnerable;624;three_toed;Maned three-toed sloth;28;6246
125;60;vulnerable;640;three_toed;Maned three-toed sloth;57;5608
126;77;vulnerable;632;three_toed;Maned three-toed sloth;63;5159
127;71;vulnerable;652;three_toed;Maned three-toed sloth;41;6094
128;69;vulnerable;628;three_toed;Maned three-toed sloth;42;5512
129;72;vulnerable;630;three_toed;Maned three-toed sloth;57;6790
130;66;vulnerable;637;three_toed;Maned three-toed sloth;57;5804
131;83;vulnerable;621;three_toed;Maned three-toed sloth;37;5703
132;77;vulnerable;626;three_toed;Maned three-toed sloth;48;5320
133;59;vulnerable;647;three_toed;Maned three-toed sloth;50;7565
134;72;vulnerable;634;three_toed;Maned three-toed sloth;48;4651
135;70;vulnerable;646;three_toed;Maned three-toed sloth;38;5493
136;64;vulnerable;650;three_toed;Maned three-toed sloth;63;5977
137;64;vulnerable;631;three_toed;Maned three-toed sloth;57;5978
138;83;vulnerable;631;three_toed;Maned three-toed sloth;46;6435
139;67;vulnerable;631;three_toed;Maned three-toed sloth;49;5425
140;61;vulnerable;628;three_toed;Maned three-toed sloth;67;7476
141;71;vulnerable;647;three_toed;Maned three-toed sloth;49;5207
142;79;vulnerable;623;three_toed;Maned three-toed sloth;47;5009
143;80;vulnerable;643;three_toed;Maned three-toed sloth;42;4853
144;84;vulnerable;636;three_toed;Maned three-toed sloth;47;4698
145;67;vulnerable;637;three_toed;Maned three-toed sloth;36;6010
146;78;vulnerable;622;three_toed;Maned three-toed sloth;38;3981
147;90;vulnerable;631;three_toed;Maned three-toed sloth;40;5351
148;77;vulnerable;640;three_toed;Maned three-toed sloth;57;6871
149;78;vulnerable;632;three_toed;Maned three-toed sloth;52;4423
150;82;vulnerable;636;three_toed;Maned three-toed sloth;25;6185
151;78;vulnerable;640;three_toed;Maned three-toed sloth;53;4903
152;66;vulnerable;635;three_toed;Maned three-toed sloth;41;3540
153;74;vulnerable;623;three_toed;Maned three-toed sloth;48;5653
154;82;vulnerable;632;three_toed;Maned three-toed sloth;36;5092
155;97;vulnerable;636;three_toed;Maned three-toed sloth;45;6750
156;62;vulnerable;620;three_toed;Maned three-toed sloth;43;5027
157;88;vulnerable;645;three_toed;Maned three-toed sloth;43;4824
158;94;vulnerable;641;three_toed;Maned three-toed sloth;59;5706
159;76;vulnerable;643;three_toed;Maned three-toed sloth;30;5631
160;69;vulnerable;644;three_toed;Maned three-toed sloth;42;5788
161;77;vulnerable;643;three_toed;Maned three-toed sloth;47;5813
162;76;vulnerable;627;three_toed;Maned three-toed sloth;56;7132
163;78;vulnerable;643;three_toed;Maned three-toed sloth;49;5912
164;77;vulnerable;625;three_toed;Maned three-toed sloth;58;6916
165;64;vulnerable;637;three_toed;Maned three-toed sloth;40;5890
166;57;vulnerable;619;three_toed;Maned three-toed sloth;43;5934
167;67;vulnerable;634;three_toed;Maned three-toed sloth;73;5625
168;75;vulnerable;624;three_toed;Maned three-toed sloth;46;4619
169;85;vulnerable;639;three_toed;Maned three-toed sloth;47;4675
170;78;vulnerable;648;three_toed;Maned three-toed sloth;46;4022
171;75;vulnerable;627;three_toed;Maned three-toed sloth;53;5344
172;77;vulnerable;650;three_toed;Maned three-toed sloth;53;6280
173;61;vulnerable;636;three_toed;Maned three-toed sloth;46;6133
174;83;vulnerable;649;three_toed;Maned three-toed sloth;55;5417
175;62;vulnerable;643;three_toed;Maned three-toed sloth;51;6704
176;94;vulnerable;658;three_toed;Maned three-toed sloth;49;4911
177;83;vulnerable;634;three_toed;Maned three-toed sloth;50;4340
178;79;vulnerable;642;three_toed;Maned three-toed sloth;30;6309
179;73;vulnerable;641;three_toed;Maned three-toed sloth;52;5950
180;90;vulnerable;617;three_toed;Maned three-toed sloth;49;4909
181;68;vulnerable;643;three_toed;Maned three-toed sloth;32;5630
182;75;vulnerable;615;three_toed;Maned three-toed sloth;34;4899
183;73;vulnerable;637;three_toed;Maned three-toed sloth;50;6211
184;57;vulnerable;627;three_toed;Maned three-toed sloth;45;6648
185;88;vulnerable;625;three_toed;Maned three-toed sloth;63;6379
186;61;vulnerable;643;three_toed;Maned three-toed sloth;30;6294
187;103;vulnerable;642;three_toed;Maned three-toed sloth;38;7137
188;66;vulnerable;644;three_toed;Maned three-toed sloth;64;6249
189;84;vulnerable;622;three_toed;Maned three-toed sloth;43;5652
190;79;vulnerable;643;three_toed;Maned three-toed sloth;58;5110
191;81;vulnerable;652;three_toed;Maned three-toed sloth;55;4971
192;87;vulnerable;617;three_toed;Maned three-toed sloth;55;5438
193;62;vulnerable;645;three_toed;Maned three-toed sloth;39;6366
194;71;vulnerable;640;three_toed;Maned three-toed sloth;42;5401
195;80;vulnerable;627;three_toed;Maned three-toed sloth;61;4727
196;63;vulnerable;637;three_toed;Maned three-toed sloth;44;6316
197;87;vulnerable;623;three_toed;Maned three-toed sloth;41;4953
198;59;vulnerable;650;three_toed;Maned three-toed sloth;32;6356
199;71;vulnerable;635;three_toed;Maned three-toed sloth;61;6498
200;94;vulnerable;621;three_toed;Maned three-toed sloth;43;5604
201;59;vulnerable;629;three_toed;Maned three-toed sloth;50;4682
202;83;vulnerable;645;three_toed;Maned three-toed sloth;50;7377
203;64;vulnerable;618;three_toed;Maned three-toed sloth;44;6624
204;71;vulnerable;630;three_toed;Maned three-toed sloth;67;5324
205;80;vulnerable;652;three_toed;Maned three-toed sloth;36;5709
206;89;vulnerable;648;three_toed;Maned three-toed sloth;47;7601
207;100;vulnerable;627;three_toed;Maned three-toed sloth;45;5666
208;68;vulnerable;633;three_toed;Maned three-toed sloth;46;5750
209;74;vulnerable;613;three_toed;Maned three-toed sloth;34;6701
210;75;vulnerable;649;three_toed;Maned three-toed sloth;42;6399
211;62;vulnerable;645;three_toed;Maned three-toed sloth;41;6407
212;86;vulnerable;646;three_toed;Maned three-toed sloth;37;4369
213;68;vulnerable;654;three_toed;Maned three-toed sloth;29;6231
214;82;vulnerable;614;three_toed;Maned three-toed sloth;60;4985
215;62;vulnerable;621;three_toed;Maned three-toed sloth;43;5444
216;89;vulnerable;644;three_toed;Maned three-toed sloth;38;7029
217;66;vulnerable;631;three_toed;Maned three-toed sloth;20;5972
218;67;vulnerable;637;three_toed;Maned three-toed sloth;59;5146
219;82;vulnerable;640;three_toed;Maned three-toed sloth;39;5623
220;81;vulnerable;625;three_toed;Maned three-toed sloth;45;5056
221;75;vulnerable;653;three_toed;Maned three-toed sloth;65;5195
222;87;vulnerable;636;three_toed;Maned three-toed sloth;43;4426
223;68;vulnerable;642;three_toed;Maned three-toed sloth;30;4380
224;51;vulnerable;609;three_toed;Maned three-toed sloth;41;5421
225;57;vulnerable;628;three_toed;Maned three-toed sloth;59;6331
226;80;vulnerable;630;three_toed;Maned three-toed sloth;59;6648
227;59;vulnerable;635;three_toed;Maned three-toed sloth;41;5598
228;71;vulnerable;616;three_toed;Maned three-toed sloth;50;5330
229;79;vulnerable;638;three_toed;Maned three-toed sloth;50;5737
230;81;vulnerable;640;three_toed;Maned three-toed sloth;46;6615
231;73;vulnerable;631;three_toed;Maned three-toed sloth;64;4191
232;83;vulnerable;628;three_toed;Maned three-toed sloth;49;6670
233;70;vulnerable;630;three_toed;Maned three-toed sloth;54;4564
234;72;vulnerable;636;three_toed;Maned three-toed sloth;54;5002
235;70;vulnerable;640;three_toed;Maned three-toed sloth;55;6061
236;76;vulnerable;631;three_toed;Maned three-toed sloth;42;6875
237;79;vulnerable;627;three_toed;Maned three-toed sloth;48;6330
238;81;vulnerable;650;three_toed;Maned three-toed sloth;33;2859
239;83;vulnerable;644;three_toed;Maned three-toed sloth;47;5668
240;75;vulnerable;632;three_toed;Maned three-toed sloth;43;5487
241;93;vulnerable;629;three_toed;Maned three-toed sloth;44;5519
242;88;vulnerable;619;three_toed;Maned three-toed sloth;49;5983
243;89;vulnerable;644;three_toed;Maned three-toed sloth;45;5594
244;93;vulnerable;631;three_toed;Maned three-toed sloth;61;4994
245;72;vulnerable;645;three_toed;Maned three-toed sloth;50;5914
246;72;vulnerable;635;three_toed;Maned three-toed sloth;27;5347
247;81;vulnerable;645;three_toed;Maned three-toed sloth;39;5115
248;61;vulnerable;628;three_toed;Maned three-toed sloth;52;6793
249;71;vulnerable;623;three_toed;Maned three-toed sloth;38;5677
250;92;vulnerable;626;three_toed;Maned three-toed sloth;44;5596
251;70;vulnerable;660;three_toed;Maned three-toed sloth;50;6451
252;79;vulnerable;636;three_toed;Maned three-toed sloth;62;5981
253;75;vulnerable;635;three_toed;Maned three-toed sloth;44;6129
254;89;vulnerable;635;three_toed;Maned three-toed sloth;42;5627
255;69;vulnerable;628;three_toed;Maned three-toed sloth;63;5213
256;65;vulnerable;643;three_toed;Maned three-toed sloth;46;6484
257;94;vulnerable;624;three_toed;Maned three-toed sloth;59;4455
258;61;vulnerable;639;three_toed;Maned three-toed sloth;59;4557
259;79;vulnerable;635;three_toed;Maned three-toed sloth;59;4444
260;79;vulnerable;628;three_toed;Maned three-toed sloth;52;5890
261;71;vulnerable;627;three_toed;Maned three-toed sloth;55;6527
262;64;vulnerable;634;three_toed;Maned three-toed sloth;58;6432
263;70;vulnerable;625;three_toed;Maned three-toed sloth;43;6558
264;69;vulnerable;635;three_toed;Maned three-toed sloth;49;4836
265;64;vulnerable;628;three_toed;Maned three-toed sloth;37;5833
266;71;vulnerable;650;three_toed;Maned three-toed sloth;34;5661
267;57;vulnerable;607;three_toed;Maned three-toed sloth;53;5605
268;71;vulnerable;641;three_toed;Maned three-toed sloth;39;4371
269;70;vulnerable;621;three_toed;Maned three-toed sloth;59;4818
270;71;vulnerable;638;three_toed;Maned three-toed sloth;72;5498
271;103;vulnerable;642;three_toed;Maned three-toed sloth;66;5605
272;78;vulnerable;627;three_toed;Maned three-toed sloth;55;6551
273;75;vulnerable;643;three_toed;Maned three-toed sloth;58;5558
274;79;vulnerable;638;three_toed;Maned three-toed sloth;50;5161
275;77;vulnerable;631;three_toed;Maned three-toed sloth;46;5746
276;64;vulnerable;638;three_toed;Maned three-toed sloth;41;5308
277;71;vulnerable;638;three_toed;Maned three-toed sloth;53;6297
278;71;vulnerable;622;three_toed;Maned three-toed sloth;58;7547
279;78;vulnerable;633;three_toed;Maned three-toed sloth;48;6638
280;78;vulnerable;633;three_toed;Maned three-toed sloth;51;4805
281;63;vulnerable;629;three_toed;Maned three-toed sloth;71;6090
282;73;vulnerable;643;three_toed;Maned three-toed sloth;60;7099
283;70;vulnerable;649;three_toed;Maned three-toed sloth;49;3602
284;66;vulnerable;630;three_toed;Maned three-toed sloth;44;4451
285;80;vulnerable;631;three_toed;Maned three-toed sloth;49;4572
286;70;vulnerable;632;three_toed;Maned three-toed sloth;42;6248
287;83;vulnerable;634;three_toed;Maned three-toed sloth;50;7935
288;75;vulnerable;629;three_toed;Maned three-toed sloth;55;5981
289;55;vulnerable;629;three_toed;Maned three-toed sloth;33;5831
290;90;vulnerable;643;three_toed;Maned three-toed sloth;49;7092
291;93;vulnerable;651;three_toed;Maned three-toed sloth;18;4869
292;105;vulnerable;639;three_toed;Maned three-toed sloth;66;8132
293;95;vulnerable;622;three_toed;Maned three-toed sloth;48;4425
294;68;vulnerable;628;three_toed;Maned three-toed sloth;64;6459
295;72;vulnerable;625;three_toed;Maned three-toed sloth;40;4720
296;59;vulnerable;636;three_toed;Maned three-toed sloth;42;8222
297;69;vulnerable;632;three_toed;Maned three-toed sloth;42;6680
298;94;vulnerable;642;three_toed;Maned three-toed sloth;63;7580
299;82;vulnerable;641;three_toed;Maned three-toed sloth;59;5332
300;66;vulnerable;640;three_toed;Maned three-toed sloth;56;5347
301;84;vulnerable;638;three_toed;Maned three-toed sloth;65;7362
302;50;vulnerable;631;three_toed;Maned three-toed sloth;49;5623
303;72;vulnerable;623;three_toed;Maned three-toed sloth;51;6934
304;70;vulnerable;633;three_toed;Maned three-toed sloth;46;6344
305;79;vulnerable;624;three_toed;Maned three-toed sloth;50;5102
306;79;vulnerable;635;three_toed;Maned three-toed sloth;47;6525
307;74;vulnerable;644;three_toed;Maned three-toed sloth;11;6200
308;64;vulnerable;626;three_toed;Maned three-toed sloth;35;3954
309;72;vulnerable;641;three_toed;Maned three-toed sloth;40;5986
310;88;vulnerable;637;three_toed;Maned three-toed sloth;37;5652
311;71;vulnerable;627;three_toed;Maned three-toed sloth;61;5186
312;89;vulnerable;640;three_toed;Maned three-toed sloth;53;5537
313;82;vulnerable;650;three_toed;Maned three-toed sloth;60;6962
314;82;vulnerable;626;three_toed;Maned three-toed sloth;44;5683
315;102;vulnerable;628;three_toed;Maned three-toed sloth;46;5830
316;75;vulnerable;639;three_toed;Maned three-toed sloth;47;5462
317;74;vulnerable;622;three_toed;Maned three-toed sloth;66;5735
318;81;vulnerable;633;three_toed;Maned three-toed sloth;46;5151
319;71;vulnerable;637;three_toed;Maned three-toed sloth;42;5585
320;88;vulnerable;634;three_toed;Maned three-toed sloth;44;5258
321;77;vulnerable;626;three_toed;Maned three-toed sloth;43;5738
322;79;vulnerable;632;three_toed;Maned three-toed sloth;54;3868
323;74;vulnerable;638;three_toed;Maned three-toed sloth;58;6200
324;87;vulnerable;621;three_toed;Maned three-toed sloth;50;4871
325;57;vulnerable;627;three_toed;Maned three-toed sloth;51;6474
326;75;vulnerable;615;three_toed;Maned three-toed sloth;47;6028
327;67;vulnerable;639;three_toed;Maned three-toed sloth;45;6630
328;64;vulnerable;615;three_toed;Maned three-toed sloth;59;5707
329;95;vulnerable;626;three_toed;Maned three-toed sloth;52;4987
330;50;vulnerable;636;three_toed;Maned three-toed sloth;47;6222
331;77;vulnerable;646;three_toed;Maned three-toed sloth;41;5581
332;79;vulnerable;631;three_toed;Maned three-toed sloth;64;6780
333;65;vulnerable;654;three_toed;Maned three-toed sloth;54;5181
334;68;vulnerable;631;three_toed;Maned three-toed sloth;49;5369
335;79;vulnerable;640;three_toed;Maned three-toed sloth;55;4860
336;83;vulnerable;632;three_toed;Maned three-toed sloth;51;6653
337;64;vulnerable;635;three_toed;Maned three-toed sloth;66;5588
338;82;vulnerable;615;three_toed;Maned three-toed sloth;50;6133
339;90;vulnerable;629;three_toed;Maned three-toed sloth;47;6672
340;68;vulnerable;632;three_toed;Maned three-toed sloth;48;5455
341;64;vulnerable;642;three_toed;Maned three-toed sloth;28;5041
342;79;vulnerable;655;three_toed;Maned three-toed sloth;56;3711
343;65;vulnerable;628;three_toed;Maned three-toed sloth;34;5286
344;70;vulnerable;640;three_toed;Maned three-toed sloth;41;6246
345;79;vulnerable;649;three_toed;Maned three-toed sloth;46;5509
346;78;vulnerable;628;three_toed;Maned three-toed sloth;42;5968
347;92;vulnerable;620;three_toed;Maned three-toed sloth;61;4196
348;90;vulnerable;645;three_toed;Maned three-toed sloth;64;5901
349;69;vulnerable;636;three_toed;Maned three-toed sloth;56;5165
350;80;vulnerable;615;three_toed;Maned three-toed sloth;51;5821
351;75;vulnerable;631;three_toed;Maned three-toed sloth;56;5211
352;71;vulnerable;634;three_toed;Maned three-toed sloth;53;3682
353;79;vulnerable;621;three_toed;Maned three-toed sloth;62;4977
354;65;vulnerable;633;three_toed;Maned three-toed sloth;36;4305
355;73;vulnerable;647;three_toed;Maned three-toed sloth;65;4829
356;78;vulnerable;632;three_toed;Maned three-toed sloth;56;5789
357;74;vulnerable;636;three_toed;Maned three-toed sloth;71;5315
358;80;vulnerable;628;three_toed;Maned three-toed sloth;54;5325
359;85;vulnerable;638;three_toed;Maned three-toed sloth;39;6114
360;75;vulnerable;631;three_toed;Maned three-toed sloth;40;4540
361;71;vulnerable;637;three_toed;Maned three-toed sloth;49;6639
362;65;vulnerable;631;three_toed;Maned three-toed sloth;50;6704
363;87;vulnerable;630;three_toed;Maned three-toed sloth;49;4702
364;64;vulnerable;633;three_toed;Maned three-toed sloth;43;6352
365;69;vulnerable;632;three_toed;Maned three-toed sloth;43;5582
366;65;vulnerable;623;three_toed;Maned three-toed sloth;50;5803
367;69;vulnerable;634;three_toed;Maned three-toed sloth;45;5142
368;83;vulnerable;632;three_toed;Maned three-toed sloth;46;3459
369;68;vulnerable;632;three_toed;Maned three-toed sloth;47;5696
370;68;vulnerable;637;three_toed;Maned three-toed sloth;56;6903
371;56;vulnerable;637;three_toed;Maned three-toed sloth;56;4687
372;64;vulnerable;630;three_toed;Maned three-toed sloth;66;4773
373;75;vulnerable;638;three_toed;Maned three-toed sloth;54;5128
374;72;vulnerable;649;three_toed;Maned three-toed sloth;62;5694
375;62;vulnerable;615;three_toed;Maned three-toed sloth;42;6131
376;80;vulnerable;627;three_toed;Maned three-toed sloth;63;5133
377;65;vulnerable;619;three_toed;Maned three-toed sloth;43;5722
378;72;vulnerable;629;three_toed;Maned three-toed sloth;52;7022
379;71;vulnerable;644;three_toed;Maned three-toed sloth;42;7278
380;93;vulnerable;624;three_toed;Maned three-toed sloth;58;4286
381;58;vulnerable;642;three_toed;Maned three-toed sloth;53;5316
382;78;vulnerable;647;three_toed;Maned three-toed sloth;42;4945
383;73;vulnerable;632;three_toed;Maned three-toed sloth;51;5772
384;85;vulnerable;639;three_toed;Maned three-toed sloth;52;4828
385;77;vulnerable;627;three_toed;Maned three-toed sloth;52;4368
386;78;vulnerable;657;three_toed;Maned three-toed sloth;54;6319
387;72;vulnerable;638;three_toed;Maned three-toed sloth;54;6460
388;90;vulnerable;624;three_toed;Maned three-toed sloth;38;6439
389;88;vulnerable;630;three_toed;Maned three-toed sloth;45;6665
390;80;vulnerable;619;three_toed;Maned three-toed sloth;47;7079
391;67;vulnerable;631;three_toed;Maned three-toed sloth;34;5829
392;60;vulnerable;648;three_toed;Maned three-toed sloth;39;4632
393;67;vulnerable;638;three_toed;Maned three-toed sloth;47;7295
394;73;vulnerable;620;three_toed;Maned three-toed sloth;53;5608
395;66;vulnerable;620;three_toed;Maned three-toed sloth;63;7291
396;69;vulnerable;652;three_toed;Maned three-toed sloth;55;4977
397;101;vulnerable;637;three_toed;Maned three-toed sloth;50;4788
398;75;vulnerable;616;three_toed;Maned three-toed sloth;49;6119
399;89;vulnerable;641;three_toed;Maned three-toed sloth;44;7551
400;76;vulnerable;646;three_toed;Maned three-toed sloth;46;6659
401;66;vulnerable;644;three_toed;Maned three-toed sloth;51;5209
402;77;vulnerable;630;three_toed;Maned three-toed sloth;40;5160
403;61;vulnerable;637;three_toed;Maned three-toed sloth;75;5960
404;94;vulnerable;634;three_toed;Maned three-toed sloth;56;4570
405;87;vulnerable;649;three_toed;Maned three-toed sloth;46;7482
406;93;vulnerable;649;three_toed;Maned three-toed sloth;49;6266
407;80;vulnerable;646;three_toed;Maned three-toed sloth;78;7124
408;79;vulnerable;612;three_toed;Maned three-toed sloth;31;4985
409;64;vulnerable;640;three_toed;Maned three-toed sloth;41;4056
410;78;vulnerable;640;three_toed;Maned three-toed sloth;38;4661
411;62;vulnerable;629;three_toed;Maned three-toed sloth;43;6236
412;73;vulnerable;629;three_toed;Maned three-toed sloth;55;6287
413;71;vulnerable;631;three_toed;Maned three-toed sloth;44;6553
414;84;vulnerable;634;three_toed;Maned three-toed sloth;31;4384
